Offical Number,Release Date (m/d/y),Title,Guest(s),Length,Listens*,Category,Format,Panel,Guest Location,Venue,Link,Description,Notes,Total Number
241,8/4/2022,Anti-Racist Advocacy,"Adrian Coles, David Marker",25:58:00,"1,978",Society,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/society1/anti-racist-advocacy,"Since the summer of Black Lives Matter in 2020, institutions all over the U.S. have been exploring their pasts. In order to understand how they may have contributed to, or helped perpetuate systemic racism. Universities, private businesses and non-profits have all been working to try to understand what it means to be Anti-Racist. The American Statistical Association launched an Anti-Racism Task Force to explore this very thing, and that’s the focus of this episode of Stats+Stories with guests Dr. Adrian Coles and Dr. David Marker.",,255
240,7/28/2022,Epidemiological BRIDGE Building,"Sandra Alba, Susan Rumisha",27:14:00,"1,967",Health,Long,"John, Rosemary","Netherlands, Tanzania",Zoom,https://statsandstories.net/methods/epidemiological-bridge-building,"Health research is complicated, no matter the scale or the scope. Global health research, however, brings with it particular issues. For the last decade, researchers in epidemiology have been pulled between issues related to research integrity and research fairness. Bridging the two is the focus of this episode of Stats and Stories with guest Sandra Alba and Susan Rumisha.",,254
239,7/21/2022,Signing Statistics,Regina Nuzzo ,27:56:00,"2,117",Education,Long,John,United States,Zoom,https://statsandstories.net/education1/signing-statistics,"Dr. Regina Nuzzo is a freelance science writer and professor in Washington, DC. After studying engineering as an undergraduate she earned her PhD in Statistics from Stanford University. Currently, she’s teaching statistics in American Sign Language at Gallaudet University, the world’s only liberal arts college for deaf and hard-of-hearing students.",,253
238,7/14/2022,Popping Filter Bubbles,Francesca Tripodi,30:09:00,"2,040",Media,Long,"John, Regina",United States,Zoom,https://statsandstories.net/media1/popping-filter-bubbles,"Have you ever wondered why a search engine result for undocumented workers in North Carolina provides links to worker rights sites, while a search for illegal aliens in North Carolina would lead you to immigration concern sites? Did you know that Wikipedia entries for women have a higher recommend rate of deletion than entries for men? The heart of those questions is the focus of this episode of Stats and Stories with guest Dr. Francesca Tripodi.",,252
237,6/30/2022,Listening Before Communicating Risk,Tracey Brown,31:01:00,"2,250",Society,Long,"John, Regina",United States,Zoom,https://statsandstories.net/society1/listening-before-communicating-risk,"What do farmers in Kenya, fishers in the Philippines and teenagers in Boston have in common? They all need to balance risks when making decisions ranging from seed choice after considering predicted rainfall to life vest and chance of shark attacks to social distancing and emotional impacts. Understand risk is the focus of today’s episode of Stats+Stories with guest Tracey Brown.",,251
236,6/23/2022,The Numbers Behind a World Cup Bid,Adam Beissel,28:45:00,"2,222",Sports,Long,"John, Regina",United States,Zoom,https://statsandstories.net/sports1/the-numbers-behind-a-world-cup-bid,What does 2022 have in common with 2018 and 2026? What is special about 2023? These years include a month where work productivity will be reduced in many countries around the world. Each year will have a month when attention is split between work email and the most beautiful game. The World Cup once again draws the attention and passion of much of the world. Today’s episode focuses on the economics of global sporting events with guest Adam Beissel.,,250
,6/16/2022,Introducing Our New Guest Host,Regina Nuzzo ,18:05:00,"1,989",Special,Special,"John, Regina",United States,Zoom,https://statsandstories.squarespace.com/entertainment1/introducing-our-new-guest-host,"In this special episode of Stats+Stories we announce our new guest host Regina Nuzzo, a professor at Gallaudet University and freelance Science writer, who will be joining us for the next couple of months. We will also be looking back at some of our favorite interviews from the past 12 months from the likes of...",First Regina Episode,249
235,6/9/2022,Becoming a Medical Statistician,Erik van Zwet,9:40:00,"2,071",Methods,Short,"John, Rosemary",Netherlands,Zoom,https://statsandstories.net/methods/becoming-a-medical-statistician,"A randomized controlled trial is viewed as the golden standard in medical research, particularly as it relates to treatments or interventions. But there may be pitfalls to trusting that approach too much. That's the focus of this episode of Stats and Stories with guest Erik van Zwet.",,248
234,6/2/2022,"Big, If True",Andrew Gelman,28:00:00,"2,344",Methods,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/methods/big-if-true,"Most articles that appear in academic journals are kind of mundane in that they’re extending the work of scholars who have come before, or sometimes taking an old theory in a new direction. There are those moment, however when a piece of research holds the possibility of fundamentally remaking a field. How should those articles be handled? What’s the ethical way to review such research? That’s the focus of this episode of Stats and Stories with guest Andrew German.",,247
233,5/26/2022,The Aging American Workforce,"Takashi‌ ‌Yamashita‌, Phyllis Cummins",25:58:00,"2,372",Society,Long,"John, Rosemary",United States,Studio,https://statsandstories.net/society1/the-aging-american-workforce,"In the United States, like many countries, middle-aged and older workers are increasingly a larger proportion of the workforce. The needs of these workers are different than those who are younger and can run the gamut from educational to health needs. That's the focus of this episode of Stats+Stories with guests Takashi‌ ‌Yamashita‌ and Phyllis A. Cummins",,246
232,5/19/2022,The Winner’s Curse,Erik van Zwet,25:56:00,"2,541",Methods,Long,"John, Rosemary",Netherlands,Zoom,https://statsandstories.net/methods/the-winners-curse,"A randomized controlled trial is viewed as the golden standard in medical research, particularly as it relates to treatments or interventions. But there may be pitfalls to trusting that approach too much. That's the focus of this episode of Stats and Stories with guest Erik van Zwet.",,245
231,5/12/2022,The Statistics That Go Into City Planning,Andrew Trueblood,26:17:00,"2,432",Society,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/society1/the-statistics-that-go-into-city-planning,"In the United States, like many countries, middle-aged and older workers are increasingly a larger proportion of the workforce. The needs of these workers are different than those who are younger and can run the gamut from educational to health needs. That's the focus of this episode of Stats+Stories with guests Takashi‌ ‌Yamashita‌ and Phyllis A. Cummins
",,244
230,5/5/2022,Becoming a Biostatistician,Conner Jackson ,6:21:00,"1,974",Education,Short,"John, Rosemary",United States,Zoom,https://statsandstories.net/education1/becoming-a-biostatistician,Returning guest Conner Jackson walks us through a day in the life of the education and early career of a biostatistician.,,243
229,4/28/2022,The Age of the Supercentenarian,Michael Pearce,26:34:00,"2,312",Health,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/health1/the-age-of-the-supercentenarian,"When American comedian and actor Betty White died, fans lamented the fact that she had just missed making it to her 100th birthday. They felt she’d been robbed of achieving a significant life moment. Some researchers think that this century could see more people making it to that moment and beyond. That’s the focus of this episode of Stats and Stories with guest Michael Pearce.",,242
228,4/21/2022,Ecological and Environmental Stats for Earth Day,Philip Dixon,27:48:00,"2,327",Environment,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/environment1/ecological-and-environmental-stats-for-earth-day,Earth day was launched in 1970 in the aftermath of several environmental disasters in the publication of Rachel Carson’s Silent Spring. It was designed to help raise awareness of environmental issues and has since grown into a global event. With this year's Earth Day taking on particular urgency in light of the most recent UN Climate Report. But what goes into the scientific research that informs this activism? What statistical tools are used to better understand the health of our environment? That's the focus of this episode of Stats and Stories with guest Philip Dixon.,,241
227,4/14/2022,Academic Writing for Everyone,Kristin Sainani,8:42:00,"2,226",Education,Short,"John, Rosemary",United States,Zoom,https://statsandstories.net/education1/academic-writing-for-everyone,"Rosemary and John both have a passion for teaching. Their experience with classes ranges from mentored studies with a few students, to face-to-face classes with close to 100 students. Recently online classes that might be held synchronously or asynchronously with classes somewhere in between. What if you wanted to offer classes too many more students, who might be based anywhere around the world. Teaching at scale is the focus of this episode of Stats and Short Stories with guest Kristin Sainani. (4/14/2022)",,240
226,4/7/2022,The Statistical Detective,Kristin Sainani,26:49:00,"2,629",Methods,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/methods/the-statistical-detective,No matter how careful a researcher or statistician is there's the possibility that an error made exists in reported data. The trick as a reader is figuring out how to identify errors and then understand what they might mean. Learning how to be a statistical detective is the focus of this episode of Stats and Stories with guest Kristin Sainani (née Cobb).,,239
225,3/31/2022,Predicting the Weather with Pietro the Weather Tortoise,Conner Jackson ,25:29:00,"2,520",Entertainment,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/entertainment1/predicting-the-weather-with-pietro-the-weather-tortoise,"Meteorologists go to school to be able to predict the weather accurately, but for some people, weather prediction is a hobby. Maybe they have a trick knee that hurts when it rains or perhaps they know when a storm is coming by how the birds at their feeders are behaving. Some lucky folks have pets that can help them figure out what the weather is going to do and that’s the focus of this episode of Stats and Stories with guest Conner Jackson.",,238
224,3/24/2022,In Defense of Standardized Testing,Howard Wainer,24:18:00,"2,694",Education,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/education1/in-defense-of-standardized-testing,"The utility of standardized testing is under debate in the US with opponents of their use in K-12 suggesting educators are now being forced to teach to tests. In higher education, there's been a push to abandon the use of standardized tests in admissions processes. But if we throw out standardized tests completely, are we throwing away a tool that still has some value? That's a question framing this episode of Stats and Stories with guest Howard Wainer.",,237
223,3/17/2022,The Data Journalism Podcast ,"Alberto Cairo, Simon Rogers",37:30:00,"2,755",Media,Long,"John, Rosemary","United States, United Kingdom",Zoom,https://statsandstories.net/media1/the-data-journalism-podcast,Data Journalism is a hot topic in the news business. Reporters working in diverse media and diverse markets are increasingly being asked to work with data. What exactly makes for good data journalism and what does a reporter need to understand to use data well. Those are a few of the questions discussed on The Data Journalism Podcast and that is the focus of this episode of Stats and Stories with guests Alberto Cairo and Simon Rogers.,,236
222,3/10/2022,Writing the Book on R,Roger Peng,6:48:00,"2,362",Methods,Short,John,United States,Zoom,https://statsandstories.net/methods/writing-the-book-on-r,Impacting statistical and data science communities is an aspiration that many of us share. Outlets for such impact include work environments where we may collaborate with interdisciplinary teams. Other newer outlets are podcasting in a variety of publishing platforms. Today we will explore the origin story of such a contributor with guest Roger Peng.,,235
221,3/3/2022,Building a Career in Data Science,Hilary Parker,7:34:00,"2,430",Methods,Short,John,United States,Zoom,https://statsandstories.net/methods/building-a-career-in-data-science,Impacting the statistical data science communities has an aspiration many of us share. Outlets for such impact include work environments where we may collaborate with interdisciplinary teams as well as other newer outlets such as podcasting and a variety of publishing platforms. Today we will explore the origin story of such a contributor in Hilary Parker.,,234
220,2/24/2022,The Best Friend on Friends,Mathias Basner,31:51:00,"3,014",Entertainment,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/entertainment1/the-best-friend-on-friends,"Since the 1990’s people have been trying to figure out who’s the best friend. Is it Chandler because of his dry wit? Phoebe because of her unabashed enthusiasm? Joey because his loyalty? Well, leave it to statistics to give us a firm answer. Who’s the best friend from the show Friends is the focus of this episode of Stats and Stories with guest Mathias Basner.",,233
219,2/17/2022,Statistics Can Find Anybody,Jana Asher,7:35:00,"2,324",Methods,Short,John,United States,Zoom,https://statsandstories.net/methods/statistics-can-find-anybod,"From Florence Nightingale to David Cox we hear at Stats and Stories love tales of the careers of statisticians who made an impact on the world. Yes, friends in nursing, we claim Florence as part of statistics too. While those two pioneers are no longer with us, Jana Asher is here with us today in this episode of Stats and Short Stories.",,232
218,2/10/2022,Statistician with a CAUSE,Dennis Pearl,25:53:00,"2,648",Education,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/education1/statistician-with-a-cause,"Dr. Dennis Pearl is a Professor of Statistics at Pennsylvania State University and Director of the Consortium for the Advancement of Undergraduate Statistics Education (CAUSE). Dr. Pearl's education work centers on building a national infrastructure to support instructors of statistics, developing resources for instructors in both statistics and probability education, and developing and testing new pedagogical methods.",,231
217,2/3/2022,The Stats of Skill vs. the Stories of Chance,Mike Orkin,29:31:00,"2,651",Society,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/society1/the-stats-of-skill-vs-the-stories-of-chance,"Gambling is a tricky topic. It got Pete Rose kicked out of baseball, and more recently, made news when Michigan State University announced a betting partnership with Ceasers entertainment. As with everything new media and big data have only complicated the conversations around games of skill vs. games of chance. That’s the focus of this episode of Stats+Stories with guest Dr. Mike Orkin.",,230
216,1/27/2022,Carnegie the Statistician,Christopher Tong,25:07:00,"2,755",Economics,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/economics1/carnegie-the-statistician,"The Gilded Age in the U.S. is perhaps best known for the great men who rose to prominence at the time. Men such as John D. Rockefeller and JP Morgan, who made money hand over fist. One of those men Andrew Carnegie was not only a shrewd businessman, he was also a shrewd statistician of sorts. His legacy is the focus of this episode of Stats and Stories with guest Christopher Tong.",,229
215,1/20/2022,Monetizing the Metaverse,Timandra Harkness,8:31:00,"2,551",Society,Short,John,United Kingdom,Zoom,https://statsandstories.net/society1/monetizing-the-metaverse,"On a recent episode of Stats+Stories, Timandra Harkness talked with us about the rise of today’s data economy. On today’s episode of Stats and Short Stories we want to shift the focus to the future of that data economy and how advancing technologies like the metaverse will play in. ",,228
214,1/13/2022,What is Nutrition Science,Michelle Cardel,25:48:00,"3,136",Health,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/health1/what-is-nutrition-science,"An entire industry has grown up around nutrition and health. People pushing everything from shakes, to meal kits, to special diets. While some of the claims surrounding such products can be questionable at best, the field of nutrition science is growing. Filled with researchers who are working to truly understand the science of food that is a focus of this episode of Stats and Stories with guest Michelle Cardel.",,227
213,1/6/2022,The Data Economy,Timandra Harkness,31:22:00,"3,221",Society,Long,"John, Brian",United Kingdom,Zoom,https://statsandstories.net/society1/the-data-economy,"Do you remember the first time you saw a prompt in social media asking about a product you were searching for on some other online platform? How about the first time you received coupons sent from your local grocery that incentivized buying your favorite consumable items? Today’s episode of Stats+Stories focuses on the origin, expansion, and future of the data economy with guest Timandra Harkness and guest host Brian Tarran. (1/6/2022)",,226
212,12/16/2021,A Not So Standard Podcast,"Roger Peng, Hilary Parker",25:37:00,"3,135",Entertainment,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/entertainment1/a-not-so-standard-podcast,"Our lives are increasingly shaped by statistics and data. However, they remain concepts that can be difficult for broad audiences to understand. A number of outlets, including this one, have sprung up to help make them more accessible. Today another one, the “Not So Standard Deviations” podcast is the focus of this episode of Stats+Stories with guests Hilary Parker and Roger D. Peng.",,225
211,12/9/2021,Collecting Human Rights Statistics,Jana Asher,29:51:00,"2,891",Society,Long,"John, Rosemary",United States,Zoom,https://statsandstories.net/society1/collecting-human-rights-statistics,"When we talk about human rights we often focus on qualitative narratives; the tales of struggles faced by refugees, of rights denied to individuals during war, of the fight for clean food and water, but undergirding all those stories are statistics. Statistics that allow us to gain insight into the scope of a human rights issue, or the size of a population living through particular human rights abuses. The collection of those statistics is the focus of this episode of Stats and Stories with guest Jana Asher.",,224
